 	cell_id	cell_coord_x	cell_coord_y	area	mean_ch2	std_ch2	min_ch2	max_ch2	bg_coord_ch2_x	bg_coord_ch2_y	bg_area_ch2	bg_mean_ch2	bg_std_ch2	bg_min_ch2	bg_max_ch2	area_h3	mean_ch3	std_ch3	min_ch3	max_ch3	bg_coord_ch3_x	bg_coord_ch3_y	bg_area_ch3	bg_mean_ch3	bg_std_ch3	bg_min_ch3	bg_max_ch3	Error	Comment
1	1772-066-262_A01	240	211	1121.552	1527.508	445.851	1075	3270	200	211	1121.552	1334.672	41.095	1228	1455	1121.552	11.561	4.400	0	26	190	261	1121.552	9.510	4.186	0	23	0-No Error	No comment
2	1772-066-262_A02	212	210	1121.552	1108.525	494.735	692	3316	162	260	1121.552	916.046	21.171	854	985	1121.552	9.524	4.454	0	27	162	260	1121.552	9.585	4.090	0	23	0-No Error	No comment
3	1772-066-262_A03	244	219	1121.552	1342.814	696.786	698	3786	194	269	1121.552	924.038	54.185	698	1040	1121.552	9.550	4.314	0	23	194	269	1121.552	9.532	4.289	0	23	4-MultipleCells	No comment
4	1772-066-262_A04	237	220	1121.552	1846.858	1103.508	701	3882	187	270	1121.552	921.374	51.984	701	1039	1121.552	10.634	4.583	0	28	187	270	1121.552	9.735	4.274	0	24	4-MultipleCells	Maybe
5	1772-066-262_A05	205	228	1121.552	2082.358	1268.245	728	3883	155	278	1121.552	934.380	21.410	876	994	1121.552	10.082	4.262	0	24	155	278	1121.552	9.686	4.019	0	20	0-No Error	No comment
6	1772-066-262_A06	237	216	1121.552	2060.654	1206.406	779	3882	187	266	1121.552	916.687	53.391	674	1039	1121.552	10.007	4.573	0	30	187	266	1121.552	9.739	4.085	0	21	0-No Error	No comment
7	1772-066-262_A07	213	210	1121.552	1530.834	1040.194	697	3883	163	260	1121.552	942.601	22.867	864	1103	1121.552	10.297	4.143	0	26	163	260	1121.552	9.635	4.284	0	26	0-No Error	No comment
8	1772-066-262_A08	242	220	1121.552	2348.633	1262.066	846	3882	192	270	1121.552	910.175	54.895	670	1031	1121.552	10.575	4.641	0	24	192	270	1121.552	9.656	4.198	0	22	0-No Error	No comment
9	1772-066-262_A09	211	209	1121.552	1389.216	821.871	638	3747	161	259	1121.552	906.338	20.181	848	972	1121.552	9.994	4.166	0	23	161	259	1121.552	9.191	4.072	0	21	0-No Error	No comment
10	1772-066-262_A10	206	219	1121.552	1003.714	232.315	653	1940	156	269	1121.552	908.788	20.406	854	1000	1121.552	10.855	4.112	0	27	156	269	1121.552	9.380	4.151	0	21	4-MultipleCells	Maybe
